,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3949.0,3949.0,3896.35,3939.95,3908.2,3903.9,3916.45,3952.0,2730.0,262845,1029418013.65,28205,DIVISLAB
1,2023-12-28,EQ,3900.0,3952.0,3861.35,3884.25,3940.0,3939.95,3905.13,3952.0,2730.0,668311,2609838683.2,68251,DIVISLAB
2,2023-12-27,EQ,3894.0,3917.0,3845.5,3863.5,3887.5,3884.25,3883.1,3934.7,2730.0,598775,2325106076.5,62418,DIVISLAB
3,2023-12-26,EQ,3699.05,3897.0,3694.0,3694.95,3863.0,3863.5,3824.51,3934.7,2730.0,1249185,4777517475.9,94640,DIVISLAB
4,2023-12-22,EQ,3650.0,3762.9,3643.95,3632.7,3699.05,3694.95,3713.67,3934.7,2730.0,898967,3338464639.4,80697,DIVISLAB
5,2023-12-21,EQ,3615.0,3649.8,3565.55,3620.0,3638.2,3632.7,3617.93,3934.7,2730.0,353261,1278075115.8,48905,DIVISLAB
6,2023-12-20,EQ,3752.0,3752.0,3604.8,3723.9,3614.1,3620.0,3685.35,3934.7,2730.0,346170,1275758276.65,44168,DIVISLAB
7,2023-12-19,EQ,3713.0,3739.0,3689.2,3713.05,3725.1,3723.9,3722.84,3934.7,2730.0,287231,1069315659.7,41581,DIVISLAB
8,2023-12-18,EQ,3690.0,3773.95,3687.25,3697.05,3710.45,3713.05,3733.5,3934.7,2730.0,457133,1706707144.6,58074,DIVISLAB
9,2023-12-15,EQ,3700.0,3720.3,3679.05,3683.2,3706.0,3697.05,3697.76,3934.7,2730.0,338280,1250879895.1,46274,DIVISLAB
10,2023-12-14,EQ,3663.9,3703.95,3641.0,3656.0,3680.05,3683.2,3678.14,3934.7,2730.0,448099,1648168629.7,70150,DIVISLAB
11,2023-12-13,EQ,3669.8,3676.0,3612.0,3647.6,3666.15,3656.0,3642.87,3934.7,2730.0,355453,1294868510.45,51986,DIVISLAB
12,2023-12-12,EQ,3670.5,3694.95,3631.0,3670.5,3651.0,3647.6,3663.02,3934.7,2730.0,188686,691160494.85,29738,DIVISLAB
13,2023-12-11,EQ,3679.0,3693.55,3641.75,3681.75,3668.0,3670.5,3667.81,3934.7,2730.0,247368,907299422.5,34446,DIVISLAB
14,2023-12-08,EQ,3739.0,3747.45,3662.4,3734.35,3680.0,3681.75,3687.54,3934.7,2730.0,455037,1677966934.1,50299,DIVISLAB
15,2023-12-07,EQ,3734.45,3772.9,3724.0,3734.45,3735.0,3734.35,3744.5,3934.7,2730.0,281509,1054110149.25,49962,DIVISLAB
16,2023-12-06,EQ,3762.85,3781.6,3716.35,3741.15,3738.55,3734.45,3742.66,3934.7,2730.0,298255,1116268149.85,39363,DIVISLAB
17,2023-12-05,EQ,3789.05,3810.0,3724.05,3798.1,3743.6,3741.15,3760.11,3934.7,2730.0,449862,1691531287.5,48437,DIVISLAB
18,2023-12-04,EQ,3810.0,3835.05,3790.0,3792.7,3800.0,3798.1,3806.91,3934.7,2730.0,318936,1214159338.8,34495,DIVISLAB
19,2023-12-01,EQ,3799.0,3819.7,3772.0,3788.7,3785.05,3792.7,3796.19,3934.7,2730.0,260031,987128181.45,27205,DIVISLAB
20,2023-11-30,EQ,3729.55,3809.0,3729.55,3729.75,3779.8,3788.7,3787.04,3934.7,2730.0,887438,3360758858.05,68042,DIVISLAB
21,2023-11-29,EQ,3761.0,3775.95,3720.95,3760.15,3729.85,3729.75,3749.11,3934.7,2730.0,329180,1234132266.7,40281,DIVISLAB
22,2023-11-28,EQ,3770.0,3786.35,3743.45,3764.8,3760.4,3760.15,3758.13,3934.7,2730.0,197926,743831371.35,24221,DIVISLAB
23,2023-11-24,EQ,3688.5,3778.95,3686.95,3688.5,3760.0,3764.8,3759.23,3934.7,2730.0,829615,3118715611.7,80104,DIVISLAB
24,2023-11-23,EQ,3705.55,3725.0,3640.1,3701.7,3695.0,3688.5,3674.65,3934.7,2730.0,252188,926703326.5,32263,DIVISLAB
25,2023-11-22,EQ,3710.0,3743.55,3685.0,3721.6,3705.1,3701.7,3712.12,3934.7,2730.0,317027,1176841388.85,27798,DIVISLAB
26,2023-11-21,EQ,3681.9,3734.3,3654.0,3672.95,3725.0,3721.6,3704.92,3934.7,2730.0,388729,1440209979.9,41988,DIVISLAB
