,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,14149.0,15990.0,13995.3,13958.8,14600.05,14662.75,15245.81,15990.0,7017.0,10957,167048384.7,5736,WENDT
1,2023-12-28,EQ,14249.0,14249.0,13861.0,14083.7,14020.0,13958.8,14030.46,15600.0,7017.0,674,9456528.6,342,WENDT
2,2023-12-27,EQ,14499.9,14499.9,14030.0,14352.1,14148.0,14083.7,14212.04,15600.0,7017.0,399,5670605.9,266,WENDT
3,2023-12-26,EQ,13921.9,14640.0,13910.2,13921.1,14266.0,14352.1,14333.25,15600.0,7017.0,973,13946252.85,627,WENDT
4,2023-12-22,EQ,13794.45,13952.05,13794.45,13923.55,13921.0,13921.1,13874.04,15600.0,7017.0,465,6451430.65,199,WENDT
5,2023-12-21,EQ,13732.25,13998.0,13600.0,13950.4,13801.3,13923.55,13827.72,15600.0,7017.0,347,4798217.5,199,WENDT
6,2023-12-20,EQ,13950.0,14041.0,13550.0,13888.45,13862.7,13950.4,13894.34,15600.0,7017.0,677,9406468.45,407,WENDT
7,2023-12-19,EQ,13864.45,13942.0,13705.55,13743.4,13793.3,13888.45,13886.3,15600.0,7017.0,259,3596552.1,132,WENDT
8,2023-12-18,EQ,13700.1,14038.35,13700.1,13957.45,13769.85,13743.4,13863.02,15600.0,7017.0,417,5780880.8,257,WENDT
9,2023-12-15,EQ,13891.45,14000.0,13831.85,13942.15,14000.0,13957.45,13950.46,15600.0,7017.0,314,4380443.55,202,WENDT
10,2023-12-14,EQ,14052.2,14052.2,13920.1,14067.5,13925.9,13942.15,13970.05,15600.0,7017.0,221,3087381.7,132,WENDT
11,2023-12-13,EQ,14150.0,14199.95,13961.35,14136.2,14000.3,14067.5,14063.91,15600.0,7017.0,272,3825382.7,210,WENDT
12,2023-12-12,EQ,14005.65,14199.0,13900.0,14000.05,14111.65,14136.2,14071.44,15600.0,7017.0,312,4390289.85,186,WENDT
13,2023-12-11,EQ,14090.0,14090.0,13727.35,13900.75,14010.0,14000.05,13897.52,15600.0,7017.0,343,4766847.65,225,WENDT
14,2023-12-08,EQ,13960.0,13974.95,13703.05,13967.15,13803.5,13900.75,13822.35,15600.0,7017.0,367,5072802.2,260,WENDT
15,2023-12-07,EQ,13923.0,14099.7,13699.85,13996.6,13900.15,13967.15,13833.3,15600.0,7017.0,584,8078645.2,369,WENDT
16,2023-12-06,EQ,14032.0,14142.45,13876.9,14036.05,13910.0,13996.6,13958.18,15600.0,7017.0,371,5178484.0,197,WENDT
17,2023-12-05,EQ,14051.35,14288.4,13978.15,14078.65,14030.0,14036.05,14066.94,15600.0,7017.0,404,5683044.45,257,WENDT
18,2023-12-04,EQ,14169.35,14218.95,13995.1,14058.1,14047.2,14078.65,14073.19,15600.0,7017.0,256,3602736.3,165,WENDT
19,2023-12-01,EQ,14161.0,14170.0,13918.75,13953.7,14074.0,14058.1,14038.31,15600.0,7017.0,297,4169377.45,208,WENDT
20,2023-11-30,EQ,14087.45,14197.75,13800.0,14087.45,13954.3,13953.7,13976.62,15600.0,7017.0,294,4109126.25,219,WENDT
21,2023-11-29,EQ,14032.0,14328.95,14001.1,14241.45,14099.0,14087.45,14161.43,15600.0,7017.0,307,4347560.0,240,WENDT
22,2023-11-28,EQ,14290.0,14400.0,13955.0,14191.15,14350.0,14241.45,14157.8,15600.0,7017.0,490,6937324.15,311,WENDT
23,2023-11-24,EQ,13951.05,14300.0,13950.0,14075.25,14185.0,14191.15,14067.14,15600.0,7017.0,551,7750992.0,334,WENDT
24,2023-11-23,EQ,13606.1,14499.9,13550.0,13512.2,13902.15,14075.25,14111.35,15600.0,7017.0,2364,33359241.4,1216,WENDT
25,2023-11-22,EQ,13450.0,13900.0,13341.55,13366.5,13530.0,13512.2,13532.99,15600.0,7017.0,1399,18932653.2,702,WENDT
26,2023-11-21,EQ,13300.0,13400.0,13136.8,13153.1,13400.0,13366.5,13322.76,15600.0,7017.0,408,5435684.45,282,WENDT
27,2023-11-20,EQ,13201.0,13341.15,13100.0,13258.25,13106.05,13153.1,13149.45,15600.0,7017.0,375,4931045.15,224,WENDT
28,2023-11-17,EQ,12900.0,13345.95,12852.15,13056.25,13280.0,13258.25,13248.77,15600.0,7017.0,666,8823679.7,412,WENDT
29,2023-11-16,EQ,12719.25,13149.65,12534.2,12692.05,13060.25,13056.25,12889.48,15600.0,7017.0,599,7720800.05,336,WENDT
30,2023-11-15,EQ,12500.0,12719.85,12480.45,12489.5,12719.85,12692.05,12602.77,15600.0,7017.0,449,5658642.45,273,WENDT
31,2023-11-13,EQ,12495.7,12600.0,12400.05,12492.4,12505.0,12489.5,12505.68,15600.0,7017.0,331,4139380.2,177,WENDT
32,2023-11-12,EQ,12233.35,12519.85,12233.35,12343.25,12517.95,12492.4,12485.61,15600.0,7017.0,117,1460816.55,77,WENDT
33,2023-11-10,EQ,12491.45,12491.45,12270.9,12352.3,12400.0,12343.25,12369.62,15600.0,7017.0,170,2102836.1,127,WENDT
34,2023-11-09,EQ,12559.0,12559.0,12251.0,12375.6,12400.0,12352.3,12315.08,15600.0,7017.0,438,5394002.9,269,WENDT
35,2023-11-08,EQ,12499.6,12499.6,12305.5,12452.1,12400.0,12375.6,12421.39,15600.0,7017.0,269,3341355.0,169,WENDT
36,2023-11-07,EQ,12386.0,12499.9,12386.0,12507.1,12422.95,12452.1,12448.13,15600.0,7017.0,873,10867219.75,652,WENDT
37,2023-11-06,EQ,12619.55,12619.55,12360.0,12436.75,12500.0,12507.1,12471.82,15600.0,7017.0,311,3878737.05,245,WENDT
38,2023-11-03,EQ,12550.0,12550.0,12342.3,12432.55,12439.95,12436.75,12434.4,15600.0,7017.0,397,4936456.9,294,WENDT
